Symbol,Shares,NetIncome,Equity,BookValue,Free float
1010,3000,3342.49,37773.06,12.59,1568.271
1020,400,871.94,8103.53,20.25,351.192
1030,700,1052.96,13543.19,19.34,405.39
1040,1143.072,1064.73,12862.79,11.25,315.59
1050,1205.357,3510.23,29699,24.63,645.433
1060,1500,3894.73,31278.93,20.85,486.812
1080,1000,2853.9,23235.36,23.23,484.724
1090,2000,5002.91,42679.53,21.33,1005.44
1120,1625,8125.96,51946.87,31.96,1412.051
1140,600,807.72,7280.9,12.13,315.847
1150,1500,1502.27,19178.46,12.78,1109.799
1180,2000,9316.86,58737.62,29.36,711.068
1201,95,-57.29,936.8,9.86,50.94
1202,50,79.85,712.86,14.25,19.285
1210,27.5,43.48,484.27,17.6,21.433
1211,1168.478,400.64,27699.05,23.7,403.78
1212,80,45.21,1495.47,18.69,42.284
1213,37.5,-94.73,301.76,8.04,37.5
1214,63,47.52,1071,17,41.31
1301,43.875,81.46,526.24,11.99,43.875
1302,60,119.05,814.38,13.57,28.808
1303,45,50.36,653.95,14.53,16.114
1304,50.8,176.89,644.9,12.69,15.245
1310,125,-,-,-,62.5
1320,51,-44.9,727.55,14.26,16.968
1330,55.781,-117.98,770.22,13.8,24.622
1810,209.65,826.25,5509.96,26.28,138.869
1820,55,147.58,804.14,14.62,30.05
2001,120.6,-112.84,1284.67,10.65,120.6
2002,480,406.85,6208.99,12.93,82.308
2010,3000,17838.84,163047.9,54.34,629.83
2020,416.666,1055.66,6980.73,16.75,166.664
2030,15,-4.04,361.52,24.1,15
2040,50,24.54,1822.68,36.45,37.854
2050,533.98,-451.31,8483.37,15.88,397.754
2060,668.914,208.25,8052.65,12.03,581.633
2070,120,376.69,2972.91,24.77,62.459
2080,75,145.33,1135,15.13,54.418
2090,31.666,15.61,468.24,14.78,27.679
2100,20,-20.22,181.4,9.07,20
2110,76,-,-,-,61.752
2120,50,12.12,780.68,15.61,36.4
2130,40,-3.45,359.9,8.99,39.999
2140,49,-28.61,492.54,10.05,49
2150,30,22.06,562.28,18.74,21.055
2160,115.5,-250.8,1122.97,9.72,115.5
2170,69.2,112.73,1155.71,16.7,69.2
2180,11.5,11.89,197.37,17.16,11.5
2190,68,92.09,1024,15.05,58.005
2200,40,4.31,616.42,15.41,40
2210,128.52,-837.24,302.41,2.35,128.52
2220,28.112,23.23,412.1,14.65,18.142
2230,63.24,137.82,1514.2,23.94,61.34
2240,60,201.02,1939.84,32.33,44.999
2250,450,499.11,7587.89,16.86,372.454
2260,438.795,409.4,5696,12.98,402.442
2270,32.5,308.36,1187.46,36.53,15.376
2280,800,2080.49,11335.59,14.16,290.281
2290,562.5,2301.6,16245.95,28.88,200.58
2300,45,-67.48,456,10.13,45
2310,366.666,70,5843.54,15.93,323.442
2320,42.631,158.64,772.73,18.12,42.631
2330,196.794,730.66,3028.67,15.39,182.729
2340,81.25,7.35,1224.64,15.07,32.5
2350,1500,134.73,12940.64,8.62,974.997
2360,15,68.35,288.73,19.24,9.223
2370,60,79.77,458.3,7.63,60
2380,876,36.67,8377.87,9.56,190.242
3001,97.9,104.52,1061.29,10.84,97.9
3002,170,124.71,2064.1,12.14,126.691
3003,189.2,214.9,2062.71,10.9,94.6
3004,180,138.57,1914.72,10.63,158.87
3005,55,-10.43,492.43,8.95,27.5
3010,100,491.43,3251.08,32.51,94.206
3020,202.5,366.35,3726.04,18.4,190.233
3030,153,901.59,3275.46,21.4,136.375
3040,90,409.84,1796.65,19.96,50.21
3050,140,880.58,3266.57,23.33,58.551
3060,157.5,535.5,3527.96,22.39,118.851
3080,86,233.18,2380.25,27.67,67.132
3090,90,58.01,1178.05,13.08,73.251
3091,130,72.07,1592.02,12.24,129.7
4001,45,230.03,1239.58,27.54,29.415
4002,50,255.88,1289.13,25.78,22.251
4003,36,2.1,532.24,14.78,14.268
4004,59,225.83,1511.15,25.61,26.186
4005,44.85,49.31,911.21,20.31,28.823
4006,45,91.22,641.15,14.24,21.375
4007,120,74.68,1370.81,11.42,35.862
4008,24,126.18,510.61,21.27,11.093
4009,92.04,361.86,1540.05,16.73,27.154
4010,100,113.7,1786.99,17.86,35.942
4011,43,72.09,403.05,9.37,12.9
4020,120,86.49,3408.43,28.4,36.771
4030,393.75,1759.14,10057.62,25.54,205.504
4031,188,685.83,3049.4,16.22,56.156
4040,125,127.58,1593.8,12.75,102.37
4050,54,26.15,728.52,13.49,40.784
4061,19.6,3.72,185.19,9.44,16.68
4070,15,-51.98,62.72,4.18,15
4080,126.388,-184.59,2354.24,18.62,61.911
4090,150,250.1,3865.61,25.77,91.087
4100,164.816,298.55,8681.44,52.67,108.789
4110,24,14.46,306.24,12.76,15.524
4130,15,-,-,-,15
4140,10.8,-6.36,112.95,10.45,10.8
4150,133.333,261.77,1894.96,14.21,130.409
4160,10,0.33,106.72,10.67,10
4170,10.15,0.56,96.08,9.46,10.15
4180,55,-7.08,751.85,13.67,31.951
4190,90,737.91,1529.53,16.99,86.218
4200,50,91.02,652.62,13.05,48.344
4210,80,-58.24,901.62,11.27,28.64
4220,850,96.67,8610.77,10.13,312.275
4230,60,87.97,1007.62,16.79,29.4
4240,210,314.99,2765.11,13.16,105.807
4250,929.4,735.87,10187.46,10.96,564.478
4260,61,174.45,995.34,16.31,44.121
4270,60,-34.9,899.1,14.98,28.5
4280,3705.882,509.88,28330.62,7.64,185.294
4290,40,43.55,527.68,13.19,30.313
4300,1080,250.83,18177.51,16.83,1078.5
4310,339.3,15.23,3158.3,9.3,102
4320,70,100.52,943.74,13.48,24.907
4330,50,9.89,481.9,9.63,30.93
4331,11.8,-,-,-,10.209
5110,4166.593,2104.58,62023.62,14.88,712.014
6001,28.571,52.03,529.58,18.53,12.711
6002,46.2,217.5,812.55,17.58,14.641
6004,82,541.14,1261.09,15.37,33.378
6010,84.7,100.19,1425.16,16.82,67.758
6020,30,49.43,380.42,12.68,29.999
6040,45,-46.15,541,12.02,38.725
6050,53.537,-42.21,161.73,3.02,20.61
6060,7.5,-14.14,53.74,7.16,7.498
6070,30,77.71,817.57,27.25,20.077
6080,5,-,-,-,5
6090,50,6.13,598.76,11.97,49.396
7010,2000,8531.71,59740.41,29.87,322.885
7020,770,-202.9,15356,19.94,426.851
7030,583.729,-980.01,3574.91,6.12,302.619
7040,157.5,-179.25,363.1,2.3,108.019
8010,125,732.78,2927.53,23.42,66.713
8011,35,-22.25,237.09,6.77,10.51
8012,35,24.65,378.86,10.82,10.5
8020,12,-156.17,89.36,7.44,12
8030,100,67.61,952.52,9.52,36.5
8040,20,24.43,221.35,11.06,7
8050,25,21.3,193.18,7.72,17.5
8060,40,108.32,435.49,10.88,37.78
8070,20,80.95,350.16,17.5,13.967
8080,34,11.86,361.2,10.62,12.26
8090,20,-,-,-,14.16
8100,25,50.84,298.12,11.92,17.3
8110,20.5,59.66,121.07,5.9,17.4
8120,22,19.26,146.56,6.66,14.965
8130,16.666,29.88,215.71,12.94,8.166
8140,16,-16.75,104.39,6.52,15.1
8150,20,8.19,125.15,6.25,12
8160,26.5,6.54,244.29,9.21,17.357
8170,27.5,37.46,297.53,10.81,18.353
8180,25,151.44,508.88,20.35,17.5
8190,49,94.9,389.61,7.95,32.075
8200,100,18.46,805.3,8.05,89.8
8210,80,523.49,2027.05,25.33,56.712
8220,20,-,-,-,13.9
8230,40,88.63,429.36,10.73,18.4
8240,10,30.3,226.38,22.63,5.5
8250,45,30.09,499.55,11.1,22.3
8260,20,19.49,195.77,9.78,13
8270,25,82.79,315.07,12.6,15.925
8280,40,46.35,330.96,8.27,12.002
8290,25,48.64,246.22,9.84,17.825
8300,20,36.39,185.35,9.26,8.5
8310,14,10.34,121.61,8.68,10.99
8311,20,-28.52,171.75,8.58,14.05
8312,45,-21.27,291.65,6.48,14.525
